source,relative_path,classification,available,size_bytes,modified,priority,potential_use
sddp_previous,tools/mcp_sddp/print_codex_command.ps1,no relevante,True,578,2026-07-13T13:53:25,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/PROMPTS_INICIALES.md,documentacion,True,1937,2026-07-13T13:53:25,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/pyproject.toml,no relevante,True,615,2026-07-13T13:53:24,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/README.md,documentacion,True,3507,2026-07-13T13:53:24,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/run_readonly.ps1,no relevante,True,367,2026-07-13T13:53:25,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/run_versioned_write.ps1,no relevante,True,454,2026-07-13T13:53:25,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.codex/config.toml.example,no relevante,True,766,2026-07-13T13:53:25,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/pyvenv.cfg,no relevante,True,338,2026-07-13T13:57:11,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/distutils-precedence.pth,no relevante,True,151,2026-07-13T13:57:12,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/py.py,codigo,True,329,2026-07-13T13:57:42,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/pythoncom.py,codigo,True,1153,2026-07-13T13:57:30,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/PyWin32.chm,no relevante,True,2642993,2026-07-13T13:57:30,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/pywin32.pth,no relevante,True,185,2026-07-13T13:57:30,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/pywin32.version.txt,documentacion,True,5,2026-07-13T13:57:30,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/typing_extensions.py,codigo,True,165012,2026-07-13T13:57:30,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/_cffi_backend.cp311-win_amd64.pyd,no relevante,True,179712,2026-07-13T13:57:44,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/__editable__.sddp_minenergia_mcp-0.1.0.pth,no relevante,True,49,2026-07-13T13:57:48,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/adodbapi/adodbapi.py,codigo,True,48940,2026-07-13T13:57:30,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/adodbapi/ado_consts.py,codigo,True,9873,2026-07-13T13:57:30,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/adodbapi/apibase.py,codigo,True,27130,2026-07-13T13:57:30,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/adodbapi/is64bit.py,codigo,True,1025,2026-07-13T13:57:30,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/adodbapi/license.txt,documentacion,True,26925,2026-07-13T13:57:30,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/adodbapi/process_connect_string.py,codigo,True,5420,2026-07-13T13:57:30,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/adodbapi/readme.txt,documentacion,True,4782,2026-07-13T13:57:30,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/adodbapi/schema_table.py,codigo,True,438,2026-07-13T13:57:30,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/adodbapi/setup.py,codigo,True,2194,2026-07-13T13:57:30,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/adodbapi/__init__.py,codigo,True,2618,2026-07-13T13:57:30,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/adodbapi/examples/db_print.py,codigo,True,2288,2026-07-13T13:57:30,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/adodbapi/examples/db_table_names.py,codigo,True,526,2026-07-13T13:57:30,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/adodbapi/examples/xls_read.py,codigo,True,1131,2026-07-13T13:57:30,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/adodbapi/examples/xls_write.py,codigo,True,1463,2026-07-13T13:57:30,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/adodbapi/test/adodbapitest.py,codigo,True,56197,2026-07-13T13:57:30,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/adodbapi/test/adodbapitestconfig.py,codigo,True,6403,2026-07-13T13:57:30,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/adodbapi/test/dbapi20.py,codigo,True,33346,2026-07-13T13:57:30,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/adodbapi/test/is64bit.py,codigo,True,1013,2026-07-13T13:57:30,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/adodbapi/test/setuptestframework.py,codigo,True,3017,2026-07-13T13:57:30,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/adodbapi/test/test_adodbapi_dbapi20.py,codigo,True,5832,2026-07-13T13:57:30,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/adodbapi/test/tryconnection.py,codigo,True,1027,2026-07-13T13:57:30,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/annotated_doc/main.py,codigo,True,1075,2026-07-13T13:57:42,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/annotated_doc/py.typed,no relevante,True,0,2026-07-13T13:57:42,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/annotated_doc/__init__.py,codigo,True,52,2026-07-13T13:57:42,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/annotated_doc-0.0.4.dist-info/entry_points.txt,documentacion,True,34,2026-07-13T13:57:42,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/annotated_doc-0.0.4.dist-info/INSTALLER,no relevante,True,4,2026-07-13T13:57:42,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/annotated_doc-0.0.4.dist-info/METADATA,no relevante,True,6566,2026-07-13T13:57:42,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/annotated_doc-0.0.4.dist-info/RECORD,no relevante,True,868,2026-07-13T13:57:42,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/annotated_doc-0.0.4.dist-info/WHEEL,no relevante,True,90,2026-07-13T13:57:42,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/annotated_doc-0.0.4.dist-info/licenses/LICENSE,no relevante,True,1086,2026-07-13T13:57:42,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/annotated_types/py.typed,no relevante,True,0,2026-07-13T13:57:42,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/annotated_types/test_cases.py,codigo,True,6421,2026-07-13T13:57:42,False,referencia/no prioritario
sddp_previous,tools/mcp_sddp/.venv_mcp/Lib/site-packages/annotated_types/__init__.py,codigo,True,13819,2026-07-13T13:57:42,False,referencia/no prioritario
