target,call_id,v1_path,v2_path,v1_exists,v1_records,v2_records,v1_derived_columns,v2_derived_columns,value_preserved,metadata_added
generacion_real_por_recurso,generacion_real_por_recurso__2026-06-01__2026-06-07__b003,data\raw\xm\pilot_20260601_20260607_retry1\generacion_real_por_recurso\generacion_real_por_recurso__2026-06-01__2026-06-07__b003__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\generacion_real_por_recurso\generacion_real_por_recurso__2026-06-01__2026-06-07__b003__normalized_v2.csv,True,1392,1392,"[""Value_GWh""]","[""Value_GWh""]",True,True
generacion_real_por_recurso,generacion_real_por_recurso__2026-06-01__2026-06-07__b004,data\raw\xm\pilot_20260601_20260607_retry1\generacion_real_por_recurso\generacion_real_por_recurso__2026-06-01__2026-06-07__b004__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\generacion_real_por_recurso\generacion_real_por_recurso__2026-06-01__2026-06-07__b004__normalized_v2.csv,True,1296,1296,"[""Value_GWh""]","[""Value_GWh""]",True,True
generacion_real_por_recurso,generacion_real_por_recurso__2026-06-01__2026-06-07__b005,data\raw\xm\pilot_20260601_20260607_retry1\generacion_real_por_recurso\generacion_real_por_recurso__2026-06-01__2026-06-07__b005__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\generacion_real_por_recurso\generacion_real_por_recurso__2026-06-01__2026-06-07__b005__normalized_v2.csv,True,1128,1128,"[""Value_GWh""]","[""Value_GWh""]",True,True
generacion_real_por_recurso,generacion_real_por_recurso__2026-06-01__2026-06-07__b006,data\raw\xm\pilot_20260601_20260607_retry1\generacion_real_por_recurso\generacion_real_por_recurso__2026-06-01__2026-06-07__b006__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\generacion_real_por_recurso\generacion_real_por_recurso__2026-06-01__2026-06-07__b006__normalized_v2.csv,True,1128,1128,"[""Value_GWh""]","[""Value_GWh""]",True,True
generacion_real_por_recurso,generacion_real_por_recurso__2026-06-01__2026-06-07__b007,data\raw\xm\pilot_20260601_20260607_retry1\generacion_real_por_recurso\generacion_real_por_recurso__2026-06-01__2026-06-07__b007__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\generacion_real_por_recurso\generacion_real_por_recurso__2026-06-01__2026-06-07__b007__normalized_v2.csv,True,960,960,"[""Value_GWh""]","[""Value_GWh""]",True,True
generacion_real_por_recurso,generacion_real_por_recurso__2026-06-01__2026-06-07__b008,data\raw\xm\pilot_20260601_20260607_retry1\generacion_real_por_recurso\generacion_real_por_recurso__2026-06-01__2026-06-07__b008__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\generacion_real_por_recurso\generacion_real_por_recurso__2026-06-01__2026-06-07__b008__normalized_v2.csv,True,264,264,"[""Value_GWh""]","[""Value_GWh""]",True,True
generacion_real_total,generacion_real_total__2026-06-01__2026-06-07__b001,data\raw\xm\pilot_20260601_20260607_retry1\generacion_real_total\generacion_real_total__2026-06-01__2026-06-07__b001__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\generacion_real_total\generacion_real_total__2026-06-01__2026-06-07__b001__normalized_v2.csv,True,168,168,"[""Value_GWh""]","[""Value_GWh""]",True,True
importaciones_energia_sistema,importaciones_energia_sistema__2026-06-01__2026-06-07__b001,data\raw\xm\pilot_20260601_20260607_retry1\importaciones_energia_sistema\importaciones_energia_sistema__2026-06-01__2026-06-07__b001__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\importaciones_energia_sistema\importaciones_energia_sistema__2026-06-01__2026-06-07__b001__normalized_v2.csv,True,168,168,"[""Value_GWh""]","[""Value_GWh""]",True,True
volumen_util_energia_embalse,volumen_util_energia_embalse__2026-06-01__2026-06-07__b001,data\raw\xm\pilot_20260601_20260607_retry1\volumen_util_energia_embalse\volumen_util_energia_embalse__2026-06-01__2026-06-07__b001__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\volumen_util_energia_embalse\volumen_util_energia_embalse__2026-06-01__2026-06-07__b001__normalized_v2.csv,True,63,63,"[""Value_GWh""]","[""Value_GWh""]",True,True
volumen_util_energia_embalse,volumen_util_energia_embalse__2026-06-01__2026-06-07__b002,data\raw\xm\pilot_20260601_20260607_retry1\volumen_util_energia_embalse\volumen_util_energia_embalse__2026-06-01__2026-06-07__b002__normalized.csv,data\interim\xm\pilot_20260601_20260607_normalized_v2\volumen_util_energia_embalse\volumen_util_energia_embalse__2026-06-01__2026-06-07__b002__normalized_v2.csv,True,70,70,"[""Value_GWh""]","[""Value_GWh""]",True,True
