Date,Hour,code,DispoReal_MW,DispoCome_MW,DispoDeclarada_MW,CapEfecNeta_MW,declared_gt_capacity,real_gt_capacity,commercial_gt_capacity,abs_declared_real_diff_mw,abs_declared_commercial_diff_mw,abs_real_commercial_diff_mw,has_any_availability,resource_without_capacity
2026-06-04,Hour18,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-04,Hour19,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-04,Hour20,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-04,Hour21,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-04,Hour22,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-04,Hour23,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-04,Hour24,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-05,Hour01,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-05,Hour02,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-05,Hour03,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-05,Hour04,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-05,Hour05,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-05,Hour06,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-05,Hour07,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-05,Hour08,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-05,Hour09,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-05,Hour10,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-05,Hour11,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-05,Hour12,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-05,Hour13,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-05,Hour14,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-05,Hour15,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-05,Hour16,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-05,Hour17,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-05,Hour18,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-05,Hour19,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-05,Hour20,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-05,Hour21,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-05,Hour22,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-05,Hour23,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-05,Hour24,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-06,Hour01,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-06,Hour02,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-06,Hour03,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-06,Hour04,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-06,Hour05,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-06,Hour06,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-06,Hour07,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-06,Hour08,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-06,Hour09,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-06,Hour10,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-06,Hour11,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-06,Hour12,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-06,Hour13,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-06,Hour14,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-06,Hour15,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-06,Hour16,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-06,Hour17,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-06,Hour18,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-06,Hour19,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-06,Hour20,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-06,Hour21,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-06,Hour22,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-06,Hour23,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-06,Hour24,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-07,Hour01,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-07,Hour02,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-07,Hour03,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-07,Hour04,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-07,Hour05,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-07,Hour06,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-07,Hour07,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-07,Hour08,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-07,Hour09,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-07,Hour10,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-07,Hour11,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-07,Hour12,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
